,Id,Label,Interval,name,state,chamber,Lat,Long
0,Mcgovern (D - MA),0,,James P. Mcgovern,MA,House,0,0
1,Miller (R - WV),1,,Carol D. Miller,WV,House,0,0
2,Mooney (R - WV),2,,Alexander X. Mooney,WV,House,0,0
3,Meadows (R - NC),3,,Mark Meadows,NC,House,0,0
4,Gaetz (R - FL),4,,Matt Gaetz,FL,House,0,0
5,Mckinley (R - WV),5,,David B. Mckinley,WV,House,0,0
6,Webster (R - FL),6,,Daniel Webster,FL,House,0,0
7,Riggleman (R - VA),7,,Denver Riggleman,VA,House,0,0
8,Curtis (R - UT),8,,John R. Curtis,UT,House,0,0
9,Budd (R - NC),9,,Ted Budd,NC,House,0,0
10,Cline (R - VA),10,,Ben Cline,VA,House,0,0
11,Hartzler (R - MO),11,,Vicky Hartzler,MO,House,0,0
12,Roe (R - TN),12,,David P. Roe,TN,House,0,0
13,Hagedorn (R - MN),13,,Jim Hagedorn,MN,House,0,0
14,Bacon (R - NE),14,,Don Bacon,NE,House,0,0
15,Collins (R - NY),15,,Chris Collins,NY,House,0,0
16,Balderson (R - OH),16,,Troy Balderson,OH,House,0,0
17,Peterson (D - MN),17,,Collin C. Peterson,MN,House,0,0
18,Fleischmann (R - TN),18,,"Charles J. ""Chuck"" Fleischmann",TN,House,0,0
19,Lamalfa (R - CA),19,,Doug Lamalfa,CA,House,0,0
20,Axne (D - IA),20,,Cynthia Axne,IA,House,0,0
21,Massie (R - KY),21,,Thomas Massie,KY,House,0,0
22,Bishop (D - GA),22,,Sanford D. Bishop,GA,House,0,0
23,Sires (D - NJ),23,,Albio Sires,NJ,House,0,0
24,Burgess (R - TX),24,,Michael C. Burgess,TX,House,0,0
25,Biggs (R - AZ),25,,Andy Biggs,AZ,House,0,0
26,Hern (R - OK),26,,Kevin Hern,OK,House,0,0
27,Steube (R - FL),27,,W. Gregory Steube,FL,House,0,0
28,Rodgers (R - WA),28,,Cathy Mcmorris Rodgers,WA,House,0,0
29,Swalwell (D - CA),29,,Eric Swalwell,CA,House,0,0
30,Graves (R - MO),30,,Sam Graves,MO,House,0,0
31,Phillips (D - MN),31,,Dean Phillips,MN,House,0,0
32,Gonzalez (R - OH),32,,Anthony Gonzalez,OH,House,0,0
33,Cunningham (D - SC),33,,Joe Cunningham,SC,House,0,0
34,Kuster (D - NH),34,,Ann M. Kuster,NH,House,0,0
35,Nicolas (D - GU),35,,Michael F. Q. San Nicolas,GU,House,0,0
36,Case (D - HI),36,,Ed Case,HI,House,0,0
37,Rose (R - TN),37,,John W. Rose,TN,House,0,0
38,Lee (D - CA),38,,Barbara Lee,CA,House,0,0
39,Norton (D - DC),39,,Eleanor Holmes Norton,DC,House,0,0
40,Moore (D - WI),40,,Gwen Moore,WI,House,0,0
41,Hastings (D - FL),41,,Alcee L. Hastings,FL,House,0,0
42,Espaillat (D - NY),42,,Adriano Espaillat,NY,House,0,0
43,Clarke (D - NY),43,,Yvette D. Clarke,NY,House,0,0
44,Brown (D - MD),44,,Anthony G. Brown,MD,House,0,0
45,Tlaib (D - MI),45,,Rashida Tlaib,MI,House,0,0
46,Bass (D - CA),46,,Karen Bass,CA,House,0,0
47,Garcia (D - IL),47,,Jesus G. Garcia,IL,House,0,0
48,Omar (D - MN),48,,Ilhan Omar,MN,House,0,0
49,Fudge (D - OH),49,,Marcia L. Fudge,OH,House,0,0
50,Jayapal (D - WA),50,,Pramila Jayapal,WA,House,0,0
51,Barragan (D - CA),51,,Nanette Diaz Barragan,CA,House,0,0
52,Thompson (D - MS),52,,Bennie Thompson,MS,House,0,0
53,Rochester (D - DE),53,,Lisa Blunt Rochester,DE,House,0,0
54,Meng (D - NY),54,,Grace Meng,NY,House,0,0
55,Blumenauer (D - OR),55,,Earl Blumenauer,OR,House,0,0
56,Hayes (D - CT),56,,Jahana Hayes,CT,House,0,0
57,Trone (D - MD),57,,David J. Trone,MD,House,0,0
58,Khanna (D - CA),58,,Ro Khanna,CA,House,0,0
59,Lowenthal (D - CA),59,,Alan S. Lowenthal,CA,House,0,0
60,Maloney (D - NY),116,,Sean Patrick Maloney,NY,House,0,0
61,Sanchez (D - CA),61,,Linda T. Sanchez,CA,House,0,0
62,Connolly (D - VA),62,,Gerald E. Connolly,VA,House,0,0
63,Haaland (D - NM),63,,Debra A. Haaland,NM,House,0,0
64,Coleman (D - NJ),64,,Bonnie Watson Coleman,NJ,House,0,0
65,Lewis (D - GA),65,,John Lewis,GA,House,0,0
66,Scott (D - VA),66,,"Robert C. ""Bobby"" Scott",VA,House,0,0
67,Lee (D - TX),67,,Sheila Jackson Lee,TX,House,0,0
68,Clark (D - MA),68,,Katherine M. Clark,MA,House,0,0
69,Desaulnier (D - CA),69,,Mark Desaulnier,CA,House,0,0
