,Representative,State,capital,latitude,longitude
0,Marco Rubio (FL),Florida,Tallahassee,30.438118,-84.281296
1,John R. Thune (SD),South Dakota,Pierre,44.367031,-100.346405
2,Jeff Merkley (OR),Oregon,Salem,44.938461,-123.030403
3,Gary C. Peters (MI),Michigan,Lansing,42.733635,-84.555328
4,Elizabeth A. Warren (MA),Massachusetts,Boston,42.358162,-71.063698
5,Sheldon Whitehouse (RI),Rhode Island,Providence,41.830914,-71.414963
6,Michael D. Crapo (ID),Idaho,Boise,43.617775,-116.199722
7,Tammy Baldwin (WI),Wisconsin,Madison,43.074684,-89.384445
8,Angus King (ME),Maine,Augusta,44.307167,-69.781693
9,Tom Cotton (AR),Arkansas,Little Rock,34.746613,-92.288986
10,Joe Manchin (WV),West Virginia,Charleston,38.336246,-81.612328
11,Deborah Ann Stabenow (MI),Michigan,Lansing,42.733635,-84.555328
12,Tammy Duckworth (IL),Illinois,Springfield,39.798363,-89.654961
13,Richard Burr (NC),North Carolina,Raleigh,35.78043,-78.639099
14,Richard J. Durbin (IL),Illinois,Springfield,39.798363,-89.654961
15,Cory A. Booker (NJ),New Jersey,Trenton,40.220596,-74.769913
16,Doug Jones (AL),Alabama,Montgomery,32.377716,-86.300568
17,Bernard Sanders (VT),Vermont,Montpelier,44.262436,-72.580536
18,Todd Young (IN),Indiana,Indianapolis,39.768623,-86.162643
19,Mitch Mcconnell (KY),Kentucky,Frankfort,38.186722,-84.875374
20,Edward J. Markey (MA),Massachusetts,Boston,42.358162,-71.063698
21,Robert Menendez (NJ),New Jersey,Trenton,40.220596,-74.769913
22,Bob Casey (PA),Pennsylvania,Harrisburg,40.264378,-76.883598
23,John Cornyn (TX),Texas,Austin,30.27467,-97.740349
24,Ted Cruz (TX),Texas,Austin,30.27467,-97.740349
25,Josh Hawley (MO),Missouri,Jefferson City,38.579201,-92.172935
26,Rob Portman (OH),Ohio,Columbus,39.961346,-82.999069
27,Sherrod Brown (OH),Ohio,Columbus,39.961346,-82.999069
28,Mike Rounds (SD),South Dakota,Pierre,44.367031,-100.346405
29,John Barrasso (WY),Wyoming,Cheyenne,41.140259,-104.820236
30,Deb Fischer (NE),Nebraska,Lincoln,40.808075,-96.699654
31,Tom Udall (NM),New Mexico,Santa Fe,35.68224,-105.939728
32,Mike Lee (UT),Utah,Salt Lake City,40.777477,-111.888237
33,Charles E. Schumer (NY),New York,Albany,42.652843,-73.757874
34,Catherine Cortez Masto (NV),Nevada,Carson City,39.163914,-119.766121
35,Jon Tester (MT),Montana,Helena,46.585709,-112.018417
36,Richard Blumenthal (CT),Connecticut,Hartford,41.764046,-72.682198
37,Jeanne Shaheen (NH),New Hampshire,Concord,43.206898,-71.537994
38,Marsha Blackburn (TN),Tennessee,Nashville,36.16581,-86.784241
39,Christopher A. Coons (DE),Delaware,Dover,39.157307,-75.519722
40,Cindy Hyde-Smith (MS),Mississippi,Jackson,32.303848,-90.182106
41,Martha Mcsally (AZ),Arizona,Phoenix,33.448143,-112.096962
42,Kamala D. Harris (CA),California,Sacramento,38.576668,-121.493629
43,Roy Blunt (MO),Missouri,Jefferson City,38.579201,-92.172935
44,Chris Van Hollen (MD),Maryland,Annapolis,38.978764,-76.490936
45,Christopher Murphy (CT),Connecticut,Hartford,41.764046,-72.682198
46,Mark R. Warner (VA),Virginia,Richmond,37.538857,-77.43364
47,Benjamin L. Cardin (MD),Maryland,Annapolis,38.978764,-76.490936
48,Timothy Kaine (VA),Virginia,Richmond,37.538857,-77.43364
49,Mike Braun (IN),Indiana,Indianapolis,39.768623,-86.162643
