,From,To,edge
2,Pete Sessions,Peter J. Roskam,1
3,Pete Sessions,Ted S. Yoho,1
5,Pete Sessions,Renee L. Ellmers,1
6,Pete Sessions,Tom Price,1
7,Pete Sessions,David B. Mckinley,1
8,Pete Sessions,Tom Cole,1
9,Pete Sessions,Louie Gohmert,1
10,Pete Sessions,J. Randy Forbes,1
15,Pete Sessions,Charles W. Boustany,1
16,Pete Sessions,Bill Posey,1
17,Pete Sessions,Chris Stewart,1
20,Pete Sessions,Lou Barletta,1
21,Pete Sessions,Tim Murphy,1
23,Pete Sessions,Patrick J. Tiberi,1
26,Pete Sessions,Stevan Pearce,1
27,Pete Sessions,Robert W. Goodlatte,1
28,Pete Sessions,Mark Walker,1
30,Pete Sessions,Doug Lamborn,1
34,Pete Sessions,Jeff Miller,1
36,Pete Sessions,Rob Bishop,1
37,Pete Sessions,Paul A. Gosar,1
39,Pete Sessions,Harold Rogers,1
43,Pete Sessions,Glenn Thompson,1
45,Pete Sessions,Kevin Brady,1
46,Pete Sessions,H. Morgan Griffith,1
47,Pete Sessions,Leonard Lance,1
48,Pete Sessions,Ted Poe,1
54,Pete Sessions,Dennis A. Ross,1
57,Pete Sessions,Michael T. Mccaul,1
60,Pete Sessions,Bill Flores,1
63,Pete Sessions,Luke Messer,1
65,Pete Sessions,Darin Lahood,1
66,Pete Sessions,K. Michael Conaway,1
68,Pete Sessions,Robert J. Wittman,1
70,Pete Sessions,Matt Salmon,1
72,Pete Sessions,William M. Thornberry,1
75,Pete Sessions,Evan H. Jenkins,1
76,Pete Sessions,Bill Shuster,1
78,Pete Sessions,Pete Olson,1
79,Pete Sessions,Mike Kelly,1
80,Pete Sessions,Mick Mulvaney,1
84,Pete Sessions,Sam Johnson,1
92,Pete Sessions,Dan Benishek,1
94,Pete Sessions,Doug Collins,1
95,Pete Sessions,Ken Calvert,1
98,Pete Sessions,Candice S. Miller,1
100,Pete Sessions,Mike Bishop,1
103,Pete Sessions,Marsha Blackburn,1
104,Pete Sessions,Lynn Jenkins,1
105,Pete Sessions,Kay Granger,1
109,Pete Sessions,Roger Williams,1
114,Pete Sessions,Scott Garrett,1
115,Pete Sessions,Joe Wilson,1
116,Pete Sessions,Martha Roby,1
118,Pete Sessions,Joe L. Barton,1
121,Pete Sessions,Mark Meadows,1
122,Pete Sessions,Steve Chabot,1
123,Pete Sessions,Steve Scalise,1
126,Pete Sessions,Garret Graves,1
131,Pete Sessions,David P. Roe,1
132,Pete Sessions,Andy Barr,1
133,Pete Sessions,Bradley Byrne,1
134,Pete Sessions,Jim Bridenstine,1
135,Pete Sessions,Steve King,1
137,Pete Sessions,Tom Mcclintock,1
138,Pete Sessions,Steven M. Palazzo,1
139,Pete Sessions,Sean P. Duffy,1
145,Pete Sessions,John Kline,1
147,Pete Sessions,Tim Huelskamp,1
149,Pete Sessions,John Abney Culberson,1
151,Pete Sessions,Tom Marino,1
152,Pete Sessions,John Ratcliffe,1
153,Pete Sessions,Diane Black,1
154,Pete Sessions,Vicky Hartzler,1
155,Pete Sessions,Trent Franks,1
159,Pete Sessions,Ron Desantis,1
162,Pete Sessions,Dave Brat,1
163,Pete Sessions,Adrian Smith,1
166,Pete Sessions,Jackie Walorski,1
167,Pete Sessions,Edward Whitfield,1
168,Pete Sessions,Tom Emmer,1
169,Pete Sessions,Cresent Hardy,1
170,Pete Sessions,David Schweikert,1
171,Pete Sessions,Steve Stivers,1
173,Pete Sessions,Barry Loudermilk,1
174,Pete Sessions,Steve Womack,1
176,Pete Sessions,Chris Collins,1
