,From,To,edge
2,Michael B. Enzi,Lamar Alexander,1
4,Michael B. Enzi,Michael D. Crapo,1
5,Michael B. Enzi,Jerry Moran,1
16,Michael B. Enzi,Deb Fischer,1
19,Michael B. Enzi,John Hoeven,1
24,Michael B. Enzi,Johnny Isakson,1
29,Michael B. Enzi,Mike Lee,1
30,Michael B. Enzi,Steve Daines,1
31,Michael B. Enzi,Pat Roberts,1
35,Michael B. Enzi,Joni Ernst,1
37,Michael B. Enzi,Ron Johnson,1
45,Michael B. Enzi,Roger F. Wicker,1
48,Michael B. Enzi,John Neely Kennedy,1
65,Michael B. Enzi,James Lankford,1
68,Michael B. Enzi,John R. Thune,1
70,Michael B. Enzi,Roy Blunt,1
77,Michael B. Enzi,Mike Rounds,1
78,Michael B. Enzi,Tom Cotton,1
81,Michael B. Enzi,John Barrasso,1
84,Michael B. Enzi,Jim Inhofe,1
85,Michael B. Enzi,John Boozman,1
86,Michael B. Enzi,Tim Scott,1
91,Michael B. Enzi,James E. Risch,1
95,Michael B. Enzi,Richard Craig Shelby,1
96,Michael B. Enzi,Ben Sasse,1
97,Michael B. Enzi,Mitch Mcconnell,1
99,Michael B. Enzi,David Alfred Perdue,1
102,Michael B. Enzi,Cindy Hyde-Smith,1
111,Benjamin L. Cardin,Timothy Kaine,1
112,Benjamin L. Cardin,Ron Wyden,1
113,Benjamin L. Cardin,Jeff Merkley,1
118,Benjamin L. Cardin,Tom Udall,1
122,Benjamin L. Cardin,Brian Schatz,1
124,Benjamin L. Cardin,Richard Blumenthal,1
125,Benjamin L. Cardin,Maria Cantwell,1
126,Benjamin L. Cardin,Tammy Baldwin,1
127,Benjamin L. Cardin,Christopher Murphy,1
131,Benjamin L. Cardin,Bob Casey,1
136,Benjamin L. Cardin,Dianne Feinstein,1
137,Benjamin L. Cardin,Martin Heinrich,1
138,Benjamin L. Cardin,Edward J. Markey,1
140,Benjamin L. Cardin,Kirsten E. Gillibrand,1
143,Benjamin L. Cardin,Michael F. Bennet,1
144,Benjamin L. Cardin,Patty Murray,1
147,Benjamin L. Cardin,Margaret Wood Hassan,1
148,Benjamin L. Cardin,Tammy Duckworth,1
150,Benjamin L. Cardin,Mazie K. Hirono,1
151,Benjamin L. Cardin,Clarence William Nelson,1
154,Benjamin L. Cardin,Sherrod Brown,1
156,Benjamin L. Cardin,Gary C. Peters,1
157,Benjamin L. Cardin,Bernard Sanders,1
160,Benjamin L. Cardin,Thomas R. Carper,1
161,Benjamin L. Cardin,Christopher A. Coons,1
163,Benjamin L. Cardin,Jeanne Shaheen,1
170,Benjamin L. Cardin,Elizabeth A. Warren,1
171,Benjamin L. Cardin,Cory A. Booker,1
173,Benjamin L. Cardin,Robert Menendez,1
175,Benjamin L. Cardin,Mark R. Warner,1
176,Benjamin L. Cardin,Richard J. Durbin,1
177,Benjamin L. Cardin,Patrick Joseph Leahy,1
180,Benjamin L. Cardin,Sheldon Whitehouse,1
184,Benjamin L. Cardin,Amy Klobuchar,1
186,Benjamin L. Cardin,Deborah Ann Stabenow,1
192,Benjamin L. Cardin,Charles E. Schumer,1
193,Benjamin L. Cardin,John F. Reed,1
196,Benjamin L. Cardin,Kamala D. Harris,1
197,Benjamin L. Cardin,Chris Van Hollen,1
202,Benjamin L. Cardin,Catherine Cortez Masto,1
204,Benjamin L. Cardin,Tina Smith,1
208,Lamar Alexander,Michael B. Enzi,1
232,Lamar Alexander,Johnny Isakson,1
233,Lamar Alexander,Rob Portman,1
239,Lamar Alexander,Pat Roberts,1
272,Lamar Alexander,Bill Cassidy,1
282,Lamar Alexander,Todd C. Young,1
287,Lamar Alexander,Lindsey O. Graham,1
294,Lamar Alexander,Tim Scott,1
302,Lamar Alexander,Bob Corker,1
303,Lamar Alexander,Richard Craig Shelby,1
305,Lamar Alexander,Mitch Mcconnell,1
320,Al Franken,Ron Wyden,1
321,Al Franken,Jeff Merkley,1
326,Al Franken,Tom Udall,1
332,Al Franken,Richard Blumenthal,1
334,Al Franken,Tammy Baldwin,1
335,Al Franken,Christopher Murphy,1
344,Al Franken,Dianne Feinstein,1
345,Al Franken,Martin Heinrich,1
346,Al Franken,Edward J. Markey,1
348,Al Franken,Kirsten E. Gillibrand,1
352,Al Franken,Patty Murray,1
356,Al Franken,Tammy Duckworth,1
358,Al Franken,Mazie K. Hirono,1
362,Al Franken,Sherrod Brown,1
365,Al Franken,Bernard Sanders,1
