From,To,edge
Marco Rubio,Tom Cotton,1
Marco Rubio,Todd Young,1
Marco Rubio,John Cornyn,1
Marco Rubio,Ted Cruz,1
Marco Rubio,Josh Hawley,1
Marco Rubio,Marsha Blackburn,1
Marco Rubio,Cindy Hyde-Smith,1
Marco Rubio,Mike Braun,1
Marco Rubio,David Alfred Perdue,1
Marco Rubio,Tim Scott,1
Marco Rubio,Thomas Roland Tillis,1
Marco Rubio,Richard Craig Shelby,1
Marco Rubio,Rick Scott,1
Marco Rubio,John Boozman,1
Marco Rubio,Mitt Romney,1
Marco Rubio,Jim Inhofe,1
Marco Rubio,Ben Sasse,1
Marco Rubio,Pat Toomey,1
Marco Rubio,James E. Risch,1
Marco Rubio,Johnny Isakson,1
John R. Thune,Michael D. Crapo,1
John R. Thune,Tom Cotton,1
John R. Thune,John Cornyn,1
John R. Thune,Josh Hawley,1
John R. Thune,Mike Rounds,1
John R. Thune,John Barrasso,1
John R. Thune,Deb Fischer,1
John R. Thune,Marsha Blackburn,1
John R. Thune,Cindy Hyde-Smith,1
John R. Thune,Roy Blunt,1
John R. Thune,Mike Braun,1
John R. Thune,Roger F. Wicker,1
John R. Thune,David Alfred Perdue,1
John R. Thune,Pat Roberts,1
John R. Thune,Michael B. Enzi,1
John R. Thune,Tim Scott,1
John R. Thune,John Neely Kennedy,1
John R. Thune,Steve Daines,1
John R. Thune,James Lankford,1
John R. Thune,Joni Ernst,1
John R. Thune,Thomas Roland Tillis,1
John R. Thune,Ron Johnson,1
John R. Thune,Kevin Cramer,1
John R. Thune,John Hoeven,1
John R. Thune,Richard Craig Shelby,1
John R. Thune,John Boozman,1
John R. Thune,Mitt Romney,1
John R. Thune,Jim Inhofe,1
John R. Thune,Ben Sasse,1
John R. Thune,Jerry Moran,1
John R. Thune,Pat Toomey,1
John R. Thune,James E. Risch,1
John R. Thune,Johnny Isakson,1
Jeff Merkley,Elizabeth A. Warren,1
Jeff Merkley,Sheldon Whitehouse,1
Jeff Merkley,Tammy Baldwin,1
Jeff Merkley,Deborah Ann Stabenow,1
Jeff Merkley,Tammy Duckworth,1
Jeff Merkley,Richard J. Durbin,1
Jeff Merkley,Cory A. Booker,1
Jeff Merkley,Bernard Sanders,1
Jeff Merkley,Edward J. Markey,1
Jeff Merkley,Robert Menendez,1
Jeff Merkley,Bob Casey,1
Jeff Merkley,Sherrod Brown,1
Jeff Merkley,Tom Udall,1
Jeff Merkley,Charles E. Schumer,1
Jeff Merkley,Catherine Cortez Masto,1
Jeff Merkley,Richard Blumenthal,1
Jeff Merkley,Jeanne Shaheen,1
Jeff Merkley,Christopher A. Coons,1
Jeff Merkley,Kamala D. Harris,1
Jeff Merkley,Chris Van Hollen,1
Jeff Merkley,Christopher Murphy,1
Jeff Merkley,Benjamin L. Cardin,1
Jeff Merkley,Timothy Kaine,1
Jeff Merkley,Brian Schatz,1
Jeff Merkley,Patty Murray,1
Jeff Merkley,Ron Wyden,1
Jeff Merkley,Tina Smith,1
Jeff Merkley,Mazie K. Hirono,1
Jeff Merkley,Martin Heinrich,1
Jeff Merkley,Michael F. Bennet,1
Jeff Merkley,Kirsten E. Gillibrand,1
Jeff Merkley,Amy Klobuchar,1
Jeff Merkley,Patrick Joseph Leahy,1
Jeff Merkley,Dianne Feinstein,1
Jeff Merkley,John F. Reed,1
Jeff Merkley,Maria Cantwell,1
Jeff Merkley,Thomas R. Carper,1
Jeff Merkley,Jacklyn Rosen,1
Gary C. Peters,Sheldon Whitehouse,1
Gary C. Peters,Tammy Baldwin,1
Gary C. Peters,Angus King,1
Gary C. Peters,Deborah Ann Stabenow,1
Gary C. Peters,Tammy Duckworth,1
Gary C. Peters,Richard J. Durbin,1
Gary C. Peters,Doug Jones,1
Gary C. Peters,Bernard Sanders,1
Gary C. Peters,Robert Menendez,1
Gary C. Peters,Bob Casey,1
Gary C. Peters,Sherrod Brown,1
Gary C. Peters,Charles E. Schumer,1
Gary C. Peters,Catherine Cortez Masto,1
Gary C. Peters,Jon Tester,1
Gary C. Peters,Richard Blumenthal,1
Gary C. Peters,Jeanne Shaheen,1
Gary C. Peters,Christopher A. Coons,1
Gary C. Peters,Chris Van Hollen,1
Gary C. Peters,Christopher Murphy,1
Gary C. Peters,Mark R. Warner,1
Gary C. Peters,Benjamin L. Cardin,1
Gary C. Peters,Timothy Kaine,1
Gary C. Peters,Brian Schatz,1
Gary C. Peters,Patty Murray,1
Gary C. Peters,Margaret Wood Hassan,1
Gary C. Peters,Tina Smith,1
Gary C. Peters,Mazie K. Hirono,1
Gary C. Peters,Martin Heinrich,1
Gary C. Peters,Michael F. Bennet,1
Gary C. Peters,Amy Klobuchar,1
Gary C. Peters,Patrick Joseph Leahy,1
Gary C. Peters,Dianne Feinstein,1
Gary C. Peters,John F. Reed,1
Gary C. Peters,Maria Cantwell,1
Gary C. Peters,Thomas R. Carper,1
Gary C. Peters,Kyrsten Sinema,1
Gary C. Peters,Jacklyn Rosen,1
Elizabeth A. Warren,Jeff Merkley,1
Elizabeth A. Warren,Sheldon Whitehouse,1
Elizabeth A. Warren,Tammy Baldwin,1
Elizabeth A. Warren,Deborah Ann Stabenow,1
Elizabeth A. Warren,Tammy Duckworth,1
Elizabeth A. Warren,Richard J. Durbin,1
Elizabeth A. Warren,Cory A. Booker,1
Elizabeth A. Warren,Bernard Sanders,1
Elizabeth A. Warren,Edward J. Markey,1
Elizabeth A. Warren,Robert Menendez,1
Elizabeth A. Warren,Bob Casey,1
Elizabeth A. Warren,Sherrod Brown,1
Elizabeth A. Warren,Tom Udall,1
Elizabeth A. Warren,Charles E. Schumer,1
Elizabeth A. Warren,Catherine Cortez Masto,1
Elizabeth A. Warren,Richard Blumenthal,1
Elizabeth A. Warren,Jeanne Shaheen,1
Elizabeth A. Warren,Christopher A. Coons,1
Elizabeth A. Warren,Kamala D. Harris,1
Elizabeth A. Warren,Chris Van Hollen,1
Elizabeth A. Warren,Christopher Murphy,1
Elizabeth A. Warren,Benjamin L. Cardin,1
Elizabeth A. Warren,Timothy Kaine,1
Elizabeth A. Warren,Brian Schatz,1
Elizabeth A. Warren,Patty Murray,1
Elizabeth A. Warren,Ron Wyden,1
Elizabeth A. Warren,Margaret Wood Hassan,1
Elizabeth A. Warren,Tina Smith,1
Elizabeth A. Warren,Mazie K. Hirono,1
Elizabeth A. Warren,Martin Heinrich,1
Elizabeth A. Warren,Michael F. Bennet,1
Elizabeth A. Warren,Kirsten E. Gillibrand,1
Elizabeth A. Warren,Amy Klobuchar,1
Elizabeth A. Warren,Patrick Joseph Leahy,1
Elizabeth A. Warren,Dianne Feinstein,1
Elizabeth A. Warren,John F. Reed,1
Elizabeth A. Warren,Maria Cantwell,1
Elizabeth A. Warren,Thomas R. Carper,1
Elizabeth A. Warren,Jacklyn Rosen,1
Sheldon Whitehouse,Jeff Merkley,1
Sheldon Whitehouse,Gary C. Peters,1
Sheldon Whitehouse,Elizabeth A. Warren,1
Sheldon Whitehouse,Tammy Baldwin,1
Sheldon Whitehouse,Angus King,1
